r     y     u
1.000 1.001 1.817
1.000 1.001 1.763
1.000 1.001 1.763
1.000 1.000 1.791
1.000 1.000 1.764
1.000 0.999 1.792
1.000 0.999 1.765
1.000 0.999 1.765
1.000 0.996 1.820
1.000 0.996 1.767
1.000 0.996 1.767
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.999 1.714
1.000 0.999 1.767
1.000 0.999 1.767
1.000 1.000 1.740
1.000 1.000 1.766
1.000 1.000 1.766
1.000 1.001 1.739
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.001 1.765
1.000 1.003 1.710
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.000 1.003 1.763
1.00 1.001 1.818
1.000 1.001 1.764
1.000 1.001 1.764
1.000 1.000 1.792
1.000 1.000 1.765
1.000 0.999 1.793
1.000 0.996 1.821
1.000 0.996 1.768
1.000 0.996 1.768
1.000 0.995 1.796
1.000 0.995 1.769
1.000 0.994 1.797
1.000 0.994 1.771
1.000 0.994 1.771
1.000 0.994 1.771
1.000 0.994 1.772
1.000 0.992 1.827
1.000 0.994 1.719
1.000 0.994 1.773
1.000 0.994 1.773
1.000 0.994 1.773
1.000 0.995 1.746
1.000 0.995 1.773
1.000 0.996 1.746
1.000 0.996 1.772
1.000 0.996 1.772
1.000 0.999 1.718
1.000 0.999 1.771
1.000 0.999 1.771
1.000 1.000 1.744
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 1.000 1.770
1.000 0.999 1.798
1.000 0.999 1.771
1.000 0.999 1.771
1.000 0.999 1.771
1.000 0.996 1.827
1.000 0.996 1.773
1.000 0.996 1.774
1.000 0.996 1.774
1.000 0.996 1.774
1.000 0.999 1.719
1.000 0.999 1.772
1.000 0.999 1.773
1.000 0.999 1.773
1.000 0.999 1.773
1.000 0.999 1.773
1.000 0.999 1.773
1.000 1.000 1.745
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.001 1.745
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.00 1.001 1.771
1.000 1.000 1.798
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.00 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.000 1.772
1.000 1.001 1.744
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.001 1.771
1.000 1.000 1.798
1.000 1.000 1.771
1.000 1.000 1.771
1.000 1.000 1.771
1.000 1.000 1.771
1.000 0.999 1.799
1.000 0.999 1.772
1.000 0.996 1.828
1.000 0.996 1.774
1.000 0.996 1.775
1.000 0.996 1.775
0.350 0.996 1.744
0.350 0.996 1.713
0.350 0.996 1.683
0.350 0.996 1.652
0.350 0.996 1.621
0.350 0.996 1.590
0.350 0.996 1.560
0.350 0.996 1.529
0.350 0.995 1.526
0.350 0.992 1.551
0.350 0.991 1.468
0.350 0.986 1.521
0.350 0.981 1.494
0.350 0.976 1.495
0.350 0.969 1.497
0.350 0.962 1.473
0.350 0.953 1.504
0.350 0.941 1.537
0.350 0.930 1.518
0.350 0.917 1.527
0.350 0.903 1.537
0.350 0.888 1.548
0.350 0.872 1.561
0.350 0.856 1.549
0.350 0.838 1.592
0.350 0.819 1.582
0.350 0.801 1.574
0.350 0.780 1.621
0.350 0.760 1.589
0.350 0.741 1.584
0.350 0.720 1.608
0.350 0.702 1.551
0.350 0.682 1.576
0.350 0.664 1.547
0.350 0.645 1.546
0.350 0.628 1.518
0.350 0.612 1.490
0.350 0.596 1.490
0.350 0.581 1.463
0.350 0.566 1.463
0.350 0.553 1.409
0.350 0.541 1.409
0.350 0.529 1.382
0.350 0.518 1.382
0.350 0.507 1.355
0.350 0.499 1.301
0.350 0.490 1.327
0.350 0.483 1.272
0.350 0.476 1.271
0.350 0.469 1.270
0.350 0.465 1.215
0.350 0.458 1.268
0.350 0.453 1.213
0.350 0.449 1.211
0.350 0.444 1.210
0.350 0.439 1.209
0.350 0.435 1.208
0.350 0.433 1.153
0.350 0.429 1.178
0.350 0.425 1.205
0.350 0.421 1.177
0.350 0.419 1.149
0.350 0.415 1.175
0.350 0.412 1.174
0.350 0.407 1.201
0.350 0.405 1.147
0.350 0.402 1.174
0.350 0.397 1.201
0.350 0.393 1.175
0.350 0.391 1.148
0.350 0.387 1.203
0.350 0.383 1.177
0.350 0.380 1.178
0.350 0.377 1.152
0.350 0.374 1.180
0.350 0.370 1.181
0.350 0.368 1.155
0.350 0.365 1.184
0.350 0.364 1.130
0.350 0.360 1.186
0.350 0.359 1.133
0.350 0.356 1.188
0.350 0.354 1.136
0.350 0.352 1.164
0.350 0.351 1.138
0.350 0.350 1.139
0.350 0.347 1.167
0.350 0.347 1.114
0.350 0.346 1.142
0.350 0.345 1.143
0.350 0.345 1.116
0.350 0.345 1.116
0.350 0.345 1.117
0.350 0.343 1.172
0.350 0.343 1.119
0.350 0.343 1.119
0.350 0.343 1.120
0.350 0.343 1.120
0.350 0.343 1.120
0.350 0.343 1.121
0.350 0.343 1.121
0.350 0.345 1.066
0.350 0.345 1.120
0.350 0.345 1.120
0.350 0.345 1.120
0.350 0.345 1.121
0.350 0.345 1.121
0.350 0.343 1.176
0.350 0.345 1.068
0.350 0.343 1.177
0.350 0.343 1.124
0.350 0.343 1.124
0.350 0.342 1.152
0.350 0.342 1.126
0.350 0.342 1.126
0.350 0.342 1.126
0.350 0.342 1.127
0.350 0.342 1.127
0.350 0.342 1.128
0.350 0.341 1.155
0.350 0.341 1.129
0.350 0.341 1.130
0.350 0.341 1.130
0.350 0.341 1.131
0.350 0.341 1.131
